"","Year","B_tot","B_exp","Catch","Stock"
"1",1978,NA,NA,NA,"GOM_Cod"
"2",1979,NA,NA,NA,"GOM_Cod"
"3",1980,NA,NA,NA,"GOM_Cod"
"4",1981,NA,NA,NA,"GOM_Cod"
"5",1982,46691.8883,34466.6735164384,17092.1,"GOM_Cod"
"6",1983,38391.0158,29350.4244574713,16478.1,"GOM_Cod"
"7",1984,33044.3325,24854.4272025641,12859.3,"GOM_Cod"
"8",1985,32967.8917,25113.5571692308,14382.5,"GOM_Cod"
"9",1986,30861.1544,22700.994452381,12567.4,"GOM_Cod"
"10",1987,30095.1368,21966.6148707317,11981.4,"GOM_Cod"
"11",1988,33150.1766,22911.0861698413,10326.4,"GOM_Cod"
"12",1989,47723.6349,21224.8719709677,13332.8,"GOM_Cod"
"13",1990,46393.0552,25877.4228447368,19280.4,"GOM_Cod"
"14",1991,40692.2414,27722.6375086614,20944.1,"GOM_Cod"
"15",1992,25828.8757,16097.3196992647,12329.3,"GOM_Cod"
"16",1993,21646.8262,11430.05582,9909.4,"GOM_Cod"
"17",1994,22296.5078,10506.5854589041,9009.8,"GOM_Cod"
"18",1995,21947.94,11222.692953,7517.5,"GOM_Cod"
"19",1996,19701.4021,11521.4354097087,7716.2,"GOM_Cod"
"20",1997,16478.0179,9513.30435053763,5784.9,"GOM_Cod"
"21",1998,15566.2643,8142.95872195122,4541.9,"GOM_Cod"
"22",1999,15697.831,8349.10796041667,3042.3,"GOM_Cod"
"23",2000,25568.9562,12772.5993016393,5753.9,"GOM_Cod"
"24",2001,27437.1998,15477.7478535211,7941.2,"GOM_Cod"
"25",2002,23153.9865,15736.6414690909,6365.7,"GOM_Cod"
"26",2003,20153.9937,14373.2080246154,6355.5,"GOM_Cod"
"27",2004,17615.9254,12535.7289835821,5768.8,"GOM_Cod"
"28",2005,15904.9364,9465.75834880952,5257.6,"GOM_Cod"
"29",2006,17657.0354,8319.32240833333,4207.3,"GOM_Cod"
"30",2007,21852.5948,10792.3945444444,5485,"GOM_Cod"
"31",2008,24188.3536,11757.9150419355,7186.5,"GOM_Cod"
"32",2009,23501.207,12280.1170269231,8246.7,"GOM_Cod"
"33",2010,18941.5619,11098.3317841121,7517.4,"GOM_Cod"
"34",2011,13305.8776,8070.18997884615,6673.2,"GOM_Cod"
"35",2012,7912.4246,3857.86098314607,3471.7,"GOM_Cod"
"36",2013,6345.3435,2172.04365488722,1776.9,"GOM_Cod"
"37",2014,6640.0195,2181.38266979167,1470.6,"GOM_Cod"
"38",1978,154472.653,135102.45475,40929,"GB_Cod"
"39",1979,176728.407,142857.761146341,44442,"GB_Cod"
"40",1980,172665.137,141884.254903846,53949,"GB_Cod"
"41",1981,170303.143,129249.401078431,48667,"GB_Cod"
"42",1982,172489.935,132364.827086957,62509,"GB_Cod"
"43",1983,138079.26,117110.526470588,54291,"GB_Cod"
"44",1984,120774.913,94250.849016129,40430,"GB_Cod"
"45",1985,101362.989,77243.2743563218,43361,"GB_Cod"
"46",1986,105909.202,66750.9559827586,27548,"GB_Cod"
"47",1987,120500.037,79653.9648545455,32665,"GB_Cod"
"48",1988,121220.203,95289.782875,42712,"GB_Cod"
"49",1989,114256.048,87739.4375,34938,"GB_Cod"
"50",1990,109278.216,90190.5102739726,44541,"GB_Cod"
"51",1991,96584.172,70286.4881797753,39342,"GB_Cod"
"52",1992,74827.828,53021.4633764706,29827,"GB_Cod"
"53",1993,54536.399,45402.1683225806,26006,"GB_Cod"
"54",1994,39454.281,23704.5644636364,16042,"GB_Cod"
"55",1995,34951.562,20778.6323823529,9983,"GB_Cod"
"56",1996,36480.642,22759.0717666667,9840,"GB_Cod"
"57",1997,37679.585,21862.2750114943,12422,"GB_Cod"
"58",1998,37287.873,19079.9959493671,10372,"GB_Cod"
"59",1999,38043.892,20878.7919605263,10987,"GB_Cod"
"60",2000,44056.835,23142.2856451613,10294,"GB_Cod"
"61",2001,40132.352,24160.1375662651,13709,"GB_Cod"
"62",2002,31688.689,22106.1730394737,11372,"GB_Cod"
"63",2003,24628.919,17083.8394,8945,"GB_Cod"
"64",2004,19116.229,13252.2062777778,5182,"GB_Cod"
"65",2005,17473.657,11201.1073384615,5074,"GB_Cod"
"66",2006,19003.931,11926.55998,4441,"GB_Cod"
"67",2007,20249.556,12592.7643538462,5664,"GB_Cod"
"68",2008,25154.285,12263.3702758621,5163,"GB_Cod"
"69",2009,28078.656,14287.0707142857,4645,"GB_Cod"
"70",2010,31152.762,16695.8880689655,3960,"GB_Cod"
"71",2011,39189.144,23402.4052173913,4449,"GB_Cod"
"72",2012,NA,NA,2653,"GB_Cod"
"73",2013,NA,NA,1824,"GB_Cod"
"74",2014,NA,NA,2082,"GB_Cod"
"75",1978,NA,NA,NA,"GB_Haddock"
"76",1979,NA,NA,NA,"GB_Haddock"
"77",1980,NA,NA,NA,"GB_Haddock"
"78",1981,92243.4,68959.4654375,25011,"GB_Haddock"
"79",1982,70856.82,59828.9760157895,17627,"GB_Haddock"
"80",1983,50620.68,38642.797515,12009,"GB_Haddock"
"81",1984,41515.32,26019.4035759259,10394,"GB_Haddock"
"82",1985,36701.57,20699.5311612245,7943,"GB_Haddock"
"83",1986,36314.49,23195.3915210526,6846,"GB_Haddock"
"84",1987,35043.84,22493.527774359,6997,"GB_Haddock"
"85",1988,35886.82,20806.61285,6689,"GB_Haddock"
"86",1989,36224.81,18120.8270157895,4915,"GB_Haddock"
"87",1990,36218.17,20559.5467380952,5574,"GB_Haddock"
"88",1991,31520.8,15703.0975636364,6997,"GB_Haddock"
"89",1992,28834.45,18403.7958196721,6244,"GB_Haddock"
"90",1993,34902.95,13812.570468,4668,"GB_Haddock"
"91",1994,40585.97,10312.8560861538,4827,"GB_Haddock"
"92",1995,45722.63,20534.9743928571,2442,"GB_Haddock"
"93",1996,56670.16,22553.4849090909,4131,"GB_Haddock"
"94",1997,67896.73,36679.8371615385,3833,"GB_Haddock"
"95",1998,79090.68,39929.8796166667,5665,"GB_Haddock"
"96",1999,108707.44,43997.6704055556,6357,"GB_Haddock"
"97",2000,117791.94,56503.0225947368,8711,"GB_Haddock"
"98",2001,137538.7,55263.7521392857,11788,"GB_Haddock"
"99",2002,154163.65,64979.6342678571,13258,"GB_Haddock"
"100",2003,141079.79,59422.5121444444,12827,"GB_Haddock"
"101",2004,173006.83,52427.4338955556,18253,"GB_Haddock"
"102",2005,219744.33,71361.6104275,21814,"GB_Haddock"
"103",2006,242300.46,49592.5404452381,15989,"GB_Haddock"
"104",2007,220907.77,78888.900392,16815,"GB_Haddock"
"105",2008,205172.08,102591.411866667,21021,"GB_Haddock"
"106",2009,168731.66,102825.0676,23126,"GB_Haddock"
"107",2010,123497.25,98852.0093121212,25903,"GB_Haddock"
"108",2011,171327.91,52218.001015,16670,"GB_Haddock"
"109",2012,189004.93,24424.5906885714,6935,"GB_Haddock"
"110",2013,287820.25,32353.2517916667,6828,"GB_Haddock"
"111",2014,773267.35,92474.0491869565,18602,"GB_Haddock"
"112",1978,24774.0686310787,10086.2396508632,5023.5,"GOM_Haddock"
"113",1979,24544.0178926,11974.3180048151,4387.6,"GOM_Haddock"
"114",1980,27709.145754,12542.4030709767,6520.6,"GOM_Haddock"
"115",1981,26160.4803295,11685.8482890894,6264.5,"GOM_Haddock"
"116",1982,21052.9971935,11395.7989816654,6941.7,"GOM_Haddock"
"117",1983,16670.838681,9752.48470121758,7655.6,"GOM_Haddock"
"118",1984,11704.0522458,6414.79687871846,4101.4,"GOM_Haddock"
"119",1985,7995.222482,4337.54513085897,3088.2,"GOM_Haddock"
"120",1986,4557.5977602,2722.3777940188,1922.2,"GOM_Haddock"
"121",1987,2518.9098655,1493.854332864,909.4,"GOM_Haddock"
"122",1988,1606.2864605,940.785715649716,438.8,"GOM_Haddock"
"123",1989,1504.6870367,698.68913019262,284.6,"GOM_Haddock"
"124",1990,1449.1402691,649.105586326147,472.4,"GOM_Haddock"
"125",1991,1476.674227,512.167930037875,446.6,"GOM_Haddock"
"126",1992,1401.62457404,355.160764412549,321.4,"GOM_Haddock"
"127",1993,1780.38386325,342.523880997162,206.9,"GOM_Haddock"
"128",1994,3340.36838958,529.49772516826,186.7,"GOM_Haddock"
"129",1995,4861.5980854,905.885697242434,403.7,"GOM_Haddock"
"130",1996,5901.02722098,1469.72204569817,341,"GOM_Haddock"
"131",1997,9106.2120094,2832.62230746938,1037.9,"GOM_Haddock"
"132",1998,9513.7669446,3615.24219514749,988.4,"GOM_Haddock"
"133",1999,11519.9912436,3422.25736836344,594.1,"GOM_Haddock"
"134",2000,14922.9789765,4459.07339571346,985.5,"GOM_Haddock"
"135",2001,20062.321699,6831.56748769086,1232.4,"GOM_Haddock"
"136",2002,17002.031705,8118.78863133356,1251.8,"GOM_Haddock"
"137",2003,14757.203856,8366.54788621694,1346.7,"GOM_Haddock"
"138",2004,13553.998411,9121.88796963476,1307.9,"GOM_Haddock"
"139",2005,12599.547599,7244.2767728797,1576.7,"GOM_Haddock"
"140",2006,10640.535965,6171.34028466167,1166.9,"GOM_Haddock"
"141",2007,9507.1213454,5001.17390231102,1343.2,"GOM_Haddock"
"142",2008,8183.7799674,4421.98645620963,1161.6,"GOM_Haddock"
"143",2009,6985.8466137,4238.92646779546,945.6,"GOM_Haddock"
"144",2010,6079.3116009,3863.35375635627,958.1,"GOM_Haddock"
"145",2011,8378.0123803,3311.04640972965,744.2,"GOM_Haddock"
"146",2012,9024.163943,2581.07175306135,739.1,"GOM_Haddock"
"147",2013,14118.6659004,2855.13758351347,793.3,"GOM_Haddock"
"148",2014,20336.5185696,4020.58087928634,1021.2,"GOM_Haddock"
"149",1978,NA,NA,NA,"Plaice"
"150",1979,NA,NA,NA,"Plaice"
"151",1980,61983.727,43498.3028818182,13597,"Plaice"
"152",1981,55832.4439,45784.4228657895,12881,"Plaice"
"153",1982,49806.2902,31942.1342471429,15156,"Plaice"
"154",1983,41083.049,28392.9985913043,13178,"Plaice"
"155",1984,31783.2815,29366.1147461538,10142,"Plaice"
"156",1985,19209.7326,13126.4126816092,7070,"Plaice"
"157",1986,16496.5635,10225.0495075758,4506,"Plaice"
"158",1987,15832.5374,11492.1341960784,3849,"Plaice"
"159",1988,17612.9169,13163.4167552632,3490,"Plaice"
"160",1989,15155.2852,10034.72346875,2421,"Plaice"
"161",1990,18657.345,13622.2628538462,2497,"Plaice"
"162",1991,22282.0662,22884.2045916667,4287,"Plaice"
"163",1992,21984.7209,22699.0027782609,6419,"Plaice"
"164",1993,21029.4637,14731.1943032258,5720,"Plaice"
"165",1994,19833.6698,9972.51692857143,5007,"Plaice"
"166",1995,18221.1509,9505.12178791209,4619,"Plaice"
"167",1996,18626.7562,11111.6314983607,4365,"Plaice"
"168",1997,20514.7389,12702.1883784314,3955,"Plaice"
"169",1998,17969.7572,11136.2130113208,3651,"Plaice"
"170",1999,16746.7973,9033.84873333333,3231,"Plaice"
"171",2000,19085.6607,11418.0524928571,4339,"Plaice"
"172",2001,15139.8126,11060.253696875,4451,"Plaice"
"173",2002,13136.594,9113.92750169492,3498,"Plaice"
"174",2003,10587.3725,6114.27831076923,2487,"Plaice"
"175",2004,8837.2369,5075.23596727273,1713,"Plaice"
"176",2005,9686.8934,6271.03280909091,1343,"Plaice"
"177",2006,12554.2502,6136.29004642857,1105,"Plaice"
"178",2007,17978.7263,11175.4657461538,990,"Plaice"
"179",2008,21241.3107,9611.68427058823,1100,"Plaice"
"180",2009,21321.8515,10329.31574,1380,"Plaice"
"181",2010,22588.7887,15218.1855571429,1404,"Plaice"
"182",2011,21971.0922,16358.4066,1369,"Plaice"
"183",2012,20259.6966,15790.4284384615,1463,"Plaice"
"184",2013,20171.0053,16988.71059,1297,"Plaice"
"185",2014,20751.3006,19716.808875,1239,"Plaice"
"186",1978,NA,NA,NA,"Witch"
"187",1979,NA,NA,NA,"Witch"
"188",1980,NA,NA,NA,"Witch"
"189",1981,NA,NA,NA,"Witch"
"190",1982,29243.619,23268.2319615385,4956,"Witch"
"191",1983,24649.402,15833.0655490196,6160,"Witch"
"192",1984,23985.122,14753.5492698413,6758,"Witch"
"193",1985,20751.142,12707.4016617647,6193,"Witch"
"194",1986,16224.536,12399.01644,4635,"Witch"
"195",1987,12990.49,7887.18351666667,3494,"Witch"
"196",1988,11406.913,6679.25718571429,3320,"Witch"
"197",1989,10316.005,6171.26261363636,2144,"Witch"
"198",1990,10316.929,7410.81148,1559,"Witch"
"199",1991,11302.258,9570.77544,1991,"Witch"
"200",1992,12310.518,13170.0170434783,2434,"Witch"
"201",1993,11573.118,8040.52413333333,2770,"Witch"
"202",1994,10224.362,6930.42593333333,2975,"Witch"
"203",1995,9082.96,5428.97253225806,2397,"Witch"
"204",1996,9297.446,3007.09875438597,2288,"Witch"
"205",1997,10997.839,2604.6055462963,1991,"Witch"
"206",1998,11823.601,4272.88086363636,2212,"Witch"
"207",1999,14521.958,5529.93118518518,2376,"Witch"
"208",2000,13797.448,6021.38698245614,2618,"Witch"
"209",2001,14210.336,5116.11369230769,3316,"Witch"
"210",2002,14765.367,8139.98594545454,3409,"Witch"
"211",2003,11640.814,6457.65497368421,3461,"Witch"
"212",2004,10567.06,5060.34920212766,3229,"Witch"
"213",2005,8543.431,4694.23188372093,2800,"Witch"
"214",2006,6354.405,3251.145,1947,"Witch"
"215",2007,5394.264,2758.78101754386,1164,"Witch"
"216",2008,5554.993,2189.23231818182,1072,"Witch"
"217",2009,5000.055,2435.82687931035,1058,"Witch"
"218",2010,4350.022,1714.38626865672,848,"Witch"
"219",2011,4772.777,1998.26902650794,941,"Witch"
"220",2012,5305.669,2033.84445641026,1106,"Witch"
"221",2013,5397.695,1518.37987390625,735,"Witch"
"222",2014,6776.669,1762.49347488372,604,"Witch"
"223",1978,NA,NA,4471,"CCGOM_Yellow"
"224",1979,NA,NA,4939,"CCGOM_Yellow"
"225",1980,NA,NA,6167,"CCGOM_Yellow"
"226",1981,NA,NA,4174,"CCGOM_Yellow"
"227",1982,NA,NA,4035,"CCGOM_Yellow"
"228",1983,NA,NA,2509,"CCGOM_Yellow"
"229",1984,NA,NA,1385,"CCGOM_Yellow"
"230",1985,3562.7756526,1266.0940932849,1348.542,"CCGOM_Yellow"
"231",1986,4225.2557527,3178.50053247493,1601.519,"CCGOM_Yellow"
"232",1987,4000.9757903,3534.70407010188,1647.979,"CCGOM_Yellow"
"233",1988,5607.5441485,1469.22456675108,1657.599,"CCGOM_Yellow"
"234",1989,7848.66057466,1548.10197166006,1570.225,"CCGOM_Yellow"
"235",1990,7954.85865971,10903.9370621156,4547.624,"CCGOM_Yellow"
"236",1991,5426.22394266,2135.89672011517,2289.963,"CCGOM_Yellow"
"237",1992,5810.7219934,3094.15622569817,1760.453,"CCGOM_Yellow"
"238",1993,2917.44664205,1278.79222454416,934.706,"CCGOM_Yellow"
"239",1994,3591.2380494,1681.42441915746,1351.255,"CCGOM_Yellow"
"240",1995,3987.0304045,1522.30550748932,1517.787,"CCGOM_Yellow"
"241",1996,4125.63144408,2129.61928598993,1514.82,"CCGOM_Yellow"
"242",1997,4575.95337785,1858.13979264866,1686.049,"CCGOM_Yellow"
"243",1998,3888.578751716,1483.51780924715,1621.756,"CCGOM_Yellow"
"244",1999,5933.26499998,1950.90513068509,1452.103,"CCGOM_Yellow"
"245",2000,6765.5120921,2539.43476941063,2585.792,"CCGOM_Yellow"
"246",2001,7013.85334224,2771.40597081994,2618.174,"CCGOM_Yellow"
"247",2002,5966.0940953,2329.2532619752,2157.171,"CCGOM_Yellow"
"248",2003,4139.48233755,2506.40664507717,1968.392,"CCGOM_Yellow"
"249",2004,2592.70839958,1299.69681658483,1186.166,"CCGOM_Yellow"
"250",2005,2089.67822363,1126.42119028533,997.348,"CCGOM_Yellow"
"251",2006,2127.53767434,726.115069754961,619.919,"CCGOM_Yellow"
"252",2007,2127.90096943,922.728773573467,632.161,"CCGOM_Yellow"
"253",2008,2645.49122475,968.126007912067,698.078,"CCGOM_Yellow"
"254",2009,3045.37469645,1199.9098817088,638.44,"CCGOM_Yellow"
"255",2010,3425.935942,1726.30604831512,633.298,"CCGOM_Yellow"
"256",2011,3701.1339952,1616.6632771954,758.696,"CCGOM_Yellow"
"257",2012,3779.8625815,1761.38917343848,1091.038,"CCGOM_Yellow"
"258",2013,4342.70198974,1200.92329023108,676.639,"CCGOM_Yellow"
"259",2014,5490.72213177,1680.33205491184,474.771,"CCGOM_Yellow"
"260",1978,NA,NA,NA,"SNEMA_Yellow"
"261",1979,NA,NA,NA,"SNEMA_Yellow"
"262",1980,NA,NA,NA,"SNEMA_Yellow"
"263",1981,50317.63176,19968.1501839286,6607,"SNEMA_Yellow"
"264",1982,49693.94041,13293.7768788029,15764,"SNEMA_Yellow"
"265",1983,50723.89674,11080.2982061099,22211,"SNEMA_Yellow"
"266",1984,47775.79237,9793.95489712739,11225,"SNEMA_Yellow"
"267",1985,37244.51272,11256.474106181,4817,"SNEMA_Yellow"
"268",1986,32776.59826,10006.4744343765,4620,"SNEMA_Yellow"
"269",1987,27999.42162,10919.8815452581,2652,"SNEMA_Yellow"
"270",1988,26482.80022,33458.7224379648,2782,"SNEMA_Yellow"
"271",1989,20249.4872,5442.42155436714,8349,"SNEMA_Yellow"
"272",1990,20042.21306,2488.41281096407,17916,"SNEMA_Yellow"
"273",1991,15823.17573,3730.58946609508,6430,"SNEMA_Yellow"
"274",1992,11303.64385,2265.45013844637,2695,"SNEMA_Yellow"
"275",1993,12680.84466,4283.41231167378,771,"SNEMA_Yellow"
"276",1994,13020.80426,1670.6090078897,735,"SNEMA_Yellow"
"277",1995,16041.27558,3956.89497886773,343,"SNEMA_Yellow"
"278",1996,18430.01991,4612.51243944315,759,"SNEMA_Yellow"
"279",1997,12862.67613,2669.74097441802,1222,"SNEMA_Yellow"
"280",1998,16945.21166,2166.01121431278,1087,"SNEMA_Yellow"
"281",1999,13500.36054,2221.86749409285,1403,"SNEMA_Yellow"
"282",2000,15471.799,3323.52293349093,1397,"SNEMA_Yellow"
"283",2001,13913.555,3159.5613363861,1449,"SNEMA_Yellow"
"284",2002,8547.539,2397.25000342763,945,"SNEMA_Yellow"
"285",2003,6847.025,2534.44687398757,666,"SNEMA_Yellow"
"286",2004,7690.974,1684.63403293451,619,"SNEMA_Yellow"
"287",2005,8554.096,1791.14002487148,346,"SNEMA_Yellow"
"288",2006,9085.049,2503.6897740418,396,"SNEMA_Yellow"
"289",2007,8937.31,3375.9066366026,502,"SNEMA_Yellow"
"290",2008,8748.809,2553.71838168525,583,"SNEMA_Yellow"
"291",2009,8576.949,1268.420864224,453,"SNEMA_Yellow"
"292",2010,8551.269,1211.9317192222,291,"SNEMA_Yellow"
"293",2011,7853.493,1245.14811282816,390,"SNEMA_Yellow"
"294",2012,7225.609,777.297487624167,563,"SNEMA_Yellow"
"295",2013,6349.46,869.996229238162,646,"SNEMA_Yellow"
"296",2014,4781.706,334.954157861927,625,"SNEMA_Yellow"
"297",1978,NA,NA,NA,"GB_Yellow"
"298",1979,21314.702,10275.405030303,6935,"GB_Yellow"
"299",1980,21786.115,15646.1633472222,7539,"GB_Yellow"
"300",1981,26304.886,9455.49664516129,6979,"GB_Yellow"
"301",1982,30452.919,17460.9011363636,12520,"GB_Yellow"
"302",1983,22136.37,30715.325641791,11989,"GB_Yellow"
"303",1984,10501.926,7426.80215469613,6280,"GB_Yellow"
"304",1985,8753.404,5102.49682524272,3267,"GB_Yellow"
"305",1986,8613.796,6463.97815,3474,"GB_Yellow"
"306",1987,7223.382,4954.47471641791,3580,"GB_Yellow"
"307",1988,7372.25,3038.84587179487,2759,"GB_Yellow"
"308",1989,9466.073,2549.32127956989,1783,"GB_Yellow"
"309",1990,9784.26,6919.63925531915,4089,"GB_Yellow"
"310",1991,9127.727,3288.89736567164,2564,"GB_Yellow"
"311",1992,11530.196,7065.21610084034,5299,"GB_Yellow"
"312",1993,9370.365,4235.46306122449,4300,"GB_Yellow"
"313",1994,8985.708,4408.79283060109,4158,"GB_Yellow"
"314",1995,7442.106,1786.45961290323,1135,"GB_Yellow"
"315",1996,9352.505,3943.36826315789,1700,"GB_Yellow"
"316",1997,14211.646,6417.97423529412,2464,"GB_Yellow"
"317",1998,16554.372,8610.03588059701,3985,"GB_Yellow"
"318",1999,21452.663,10263.263,4963,"GB_Yellow"
"319",2000,23571.886,11737.5146875,7341,"GB_Yellow"
"320",2001,22762.171,12212.412814433,7419,"GB_Yellow"
"321",2002,21569.767,12006.2221692308,5663,"GB_Yellow"
"322",2003,18889.027,15434.8703770492,6562,"GB_Yellow"
"323",2004,13102.402,7678.17825257732,6815,"GB_Yellow"
"324",2005,7711.602,5187.09401438849,3852,"GB_Yellow"
"325",2006,5836.451,2432.5708051948,2057,"GB_Yellow"
"326",2007,6016.04,2339.7692,1664,"GB_Yellow"
"327",2008,5394.553,3645.64922807018,1499,"GB_Yellow"
"328",2009,6177.554,3270.77637349398,1806,"GB_Yellow"
"329",2010,5228.849,2305.83930136986,1170,"GB_Yellow"
"330",2011,4607.874,2667.89756666667,1171,"GB_Yellow"
"331",2012,3948.375,2901.51284375,725,"GB_Yellow"
"332",2013,NA,NA,218,"GB_Yellow"
"333",2014,NA,NA,159,"GB_Yellow"
"334",1978,NA,NA,NA,"SNEMA_Winter"
"335",1979,NA,NA,NA,"SNEMA_Winter"
"336",1980,NA,NA,NA,"SNEMA_Winter"
"337",1981,56944.22844,32767.6934292432,15764,"SNEMA_Winter"
"338",1982,52603.79407,32922.3025071091,14143,"SNEMA_Winter"
"339",1983,51752.0859,28183.7641477836,13582,"SNEMA_Winter"
"340",1984,45111.95461,26922.979852648,15526,"SNEMA_Winter"
"341",1985,33124.97638,19953.164110307,13891,"SNEMA_Winter"
"342",1986,28988.81772,15718.7102739809,9217,"SNEMA_Winter"
"343",1987,23381.63876,13447.7337493758,9352,"SNEMA_Winter"
"344",1988,19957.00555,11709.4796050279,8795,"SNEMA_Winter"
"345",1989,20527.77087,10332.409144969,6915,"SNEMA_Winter"
"346",1990,18813.17607,10369.9465966535,5999,"SNEMA_Winter"
