"","Year","B_tot","B_exp","Catch","Stock"
"347",1991,16911.21742,10563.0628363704,6842,"SNEMA_Winter"
"348",1992,13126.19067,8543.13380495763,4729,"SNEMA_Winter"
"349",1993,15118.78061,7075.96331116229,4311,"SNEMA_Winter"
"350",1994,19815.29068,7116.11835526983,3092,"SNEMA_Winter"
"351",1995,21400.29338,8872.23616918695,3434,"SNEMA_Winter"
"352",1996,19235.95559,10026.8036585901,3702,"SNEMA_Winter"
"353",1997,25598.59121,11807.9273002762,4483,"SNEMA_Winter"
"354",1998,22727.39612,11033.5968534748,3614,"SNEMA_Winter"
"355",1999,20368.12201,11655.0793891463,3745,"SNEMA_Winter"
"356",2000,20816.191,13873.9679851555,4754,"SNEMA_Winter"
"357",2001,18637.488,12052.336761178,5147,"SNEMA_Winter"
"358",2002,14689.948,8761.80653915316,3412,"SNEMA_Winter"
"359",2003,13015.893,8095.38552287534,2827,"SNEMA_Winter"
"360",2004,10992.386,6574.30994969204,1942,"SNEMA_Winter"
"361",2005,12208.431,6285.31889590343,1563,"SNEMA_Winter"
"362",2006,12724.268,7320.89657729514,2023,"SNEMA_Winter"
"363",2007,11498.544,7791.83615356961,1866,"SNEMA_Winter"
"364",2008,9984.255,6462.15719033286,1298,"SNEMA_Winter"
"365",2009,9563.828,5614.63238396772,532,"SNEMA_Winter"
"366",2010,10499.858,6421.31797306814,363,"SNEMA_Winter"
"367",2011,10836.256,7284.90237624183,530,"SNEMA_Winter"
"368",2012,10839.5,7410.62413027223,650,"SNEMA_Winter"
"369",2013,10751.065,7185.11058158625,1074,"SNEMA_Winter"
"370",2014,9066.99,5881.28671042523,753,"SNEMA_Winter"
"371",1978,NA,NA,NA,"GB_Winter"
"372",1979,NA,NA,NA,"GB_Winter"
"373",1980,NA,NA,NA,"GB_Winter"
"374",1981,NA,NA,NA,"GB_Winter"
"375",1982,30376.13,20395.1839171429,3338,"GB_Winter"
"376",1983,26295.855,26488.2080445455,4203,"GB_Winter"
"377",1984,19155.032,12757.8270524576,4182,"GB_Winter"
"378",1985,16655.429,8854.29622691358,2432,"GB_Winter"
"379",1986,18327.607,9820.52146614035,2110,"GB_Winter"
"380",1987,17073.791,11844.9684759211,3138,"GB_Winter"
"381",1988,16912.424,11738.1393603261,3278,"GB_Winter"
"382",1989,15475.796,7380.69296071429,2343,"GB_Winter"
"383",1990,15141.911,7318.63131736264,2442,"GB_Winter"
"384",1991,14412.551,10122.0553294828,2310,"GB_Winter"
"385",1992,11844.049,7569.422865,2056,"GB_Winter"
"386",1993,9956.715,6167.44855022472,1873,"GB_Winter"
"387",1994,8076.029,6882.05498956522,1150,"GB_Winter"
"388",1995,12633.263,6873.15746,842,"GB_Winter"
"389",1996,14731.898,8841.7004326087,1554,"GB_Winter"
"390",1997,11424.828,4019.1690726087,1562,"GB_Winter"
"391",1998,15418.376,8264.46217705882,1569,"GB_Winter"
"392",1999,19256.837,11378.1250634615,1235,"GB_Winter"
"393",2000,22266.562,17447.6272707143,2027,"GB_Winter"
"394",2001,18183.773,12704.2773759615,2413,"GB_Winter"
"395",2002,17568.633,12490.4896208929,2558,"GB_Winter"
"396",2003,15593.239,11995.1630123595,3328,"GB_Winter"
"397",2004,10252.428,6423.10225942857,3026,"GB_Winter"
"398",2005,7560.006,4951.68272279412,2347,"GB_Winter"
"399",2006,7633.338,4844.71318925926,1125,"GB_Winter"
"400",2007,8423.864,4448.37423967742,1039,"GB_Winter"
"401",2008,9436.42,4225.92227486487,1179,"GB_Winter"
"402",2009,10691.72,5986.56473195652,2013,"GB_Winter"
"403",2010,11072.157,5384.78616378378,1544,"GB_Winter"
"404",2011,10593.559,5744.53799843137,2070,"GB_Winter"
"405",2012,11276.561,6314.3717512,2185,"GB_Winter"
"406",2013,8851.995,4779.44735811321,1763,"GB_Winter"
"407",2014,8633.685,4340.13135105263,1219,"GB_Winter"
"408",1978,72992.9587,64493.7273504,14083,"Redfish"
"409",1979,61845.8118,56091.0663490323,14755,"Redfish"
"410",1980,49291.0765,48904.653975,10183,"Redfish"
"411",1981,40982.6008,39426.7078834783,7915,"Redfish"
"412",1982,34767.8604,31889.0750364,6903,"Redfish"
"413",1983,29548.4778,26439.0702356522,5328,"Redfish"
"414",1984,25996.5404,22811.7025208333,4793,"Redfish"
"415",1985,23004.8706,19679.4493344,4282,"Redfish"
"416",1986,20601.2846,16374.5850955,2929,"Redfish"
"417",1987,19779.526,17110.7221991667,1894,"Redfish"
"418",1988,20321.0174,15598.1772725,1177,"Redfish"
"419",1989,21944.7215,17579.9180275,669.427,"Redfish"
"420",1990,24453.3102,16824.4079375,638.655,"Redfish"
"421",1991,27328.953,222335.985836667,2039.117,"Redfish"
"422",1992,20517.8664,14781.7036385714,977.965,"Redfish"
"423",1993,24203.6163,16422.6001485714,1045.675,"Redfish"
"424",1994,29704.6754,17772.359708,545.862,"Redfish"
"425",1995,37637.088,22549.16634,630.859,"Redfish"
"426",1996,47832.5129,24025.6845566667,688.715,"Redfish"
"427",1997,59602.9778,45721.86351,431.629,"Redfish"
"428",1998,72825.3119,67476.47815,586.094,"Redfish"
"429",1999,86654.2736,39536.98392,382.944,"Redfish"
"430",2000,101675.8247,50067.15714,487.886,"Redfish"
"431",2001,117811.0319,78564.90396,727.67,"Redfish"
"432",2002,135088.5282,NA,493.573,"Redfish"
"433",2003,154024.3436,NA,564.253,"Redfish"
"434",2004,174103.3375,NA,522.55,"Redfish"
"435",2005,195418.9891,NA,664.651,"Redfish"
"436",2006,217760.0873,NA,647.908,"Redfish"
"437",2007,241483.6081,122178.67362,1160.395,"Redfish"
"438",2008,267362.3368,139944.10666,1373.072,"Redfish"
"439",2009,297389.4154,176570.32464,1667,"Redfish"
"440",2010,331624.8753,193507.34431,1852,"Redfish"
"441",2011,368810.9532,240856.8698,2223,"Redfish"
"442",2012,406992.2843,409647.39103,4146,"Redfish"
"443",2013,443225.8417,418904.14593,3974,"Redfish"
"444",2014,479105.7712,504997.08801,5086,"Redfish"
"445",1978,47963.47,42169.4366064706,6053,"White_Hake"
"446",1979,46639.7524,39440.992550625,5295.7,"White_Hake"
"447",1980,45914.2611,40235.8458777778,6098.8,"White_Hake"
"448",1981,44139.1095,38095.8853191667,7211.2,"White_Hake"
"449",1982,41182.549,34777.2117136667,7557.4,"White_Hake"
"450",1983,36956.5244,31356.6831522581,7732.2,"White_Hake"
"451",1984,33710.8485,27668.2133689474,8001.3,"White_Hake"
"452",1985,30731.7145,24557.2441436957,8469.4,"White_Hake"
"453",1986,27205.0302,20372.4360635294,7532.1,"White_Hake"
"454",1987,25946.8857,18245.1661239344,7020.2,"White_Hake"
"455",1988,24704.4142,16725.5204587302,5974.9,"White_Hake"
"456",1989,23066.294,15576.5479066667,5690.9,"White_Hake"
"457",1990,25451.731,16625.7052285714,6826.7,"White_Hake"
"458",1991,26539.66,15789.2531052632,5999.6,"White_Hake"
"459",1992,26592.157,17882.1816727273,9210.9,"White_Hake"
"460",1993,23038.737,16071.4652252336,8946.6,"White_Hake"
"461",1994,16956.627,11889.1402,5046.5,"White_Hake"
"462",1995,15674.399,10336.1789628571,4618.7,"White_Hake"
"463",1996,13610.079,9796.70143703704,3497.9,"White_Hake"
"464",1997,13073.58,9712.30503142857,2359.5,"White_Hake"
"465",1998,15355.275,10737.3481125,2515.2,"White_Hake"
"466",1999,15501.897,10874.2971266667,3560.5,"White_Hake"
"467",2000,15119.154,10485.9105880952,3200,"White_Hake"
"468",2001,18508.828,12095.3993930233,3836.7,"White_Hake"
"469",2002,20771.867,13851.719965625,3389,"White_Hake"
"470",2003,19173.668,14861.5568651163,4759,"White_Hake"
"471",2004,17536.256,14261.1711333333,3623.6,"White_Hake"
"472",2005,15359.15,11557.3691290323,2763.2,"White_Hake"
"473",2006,15740.889,11744.0524368421,1761.8,"White_Hake"
"474",2007,21188.843,14549.1533384615,1565,"White_Hake"
"475",2008,20435.371,15050.8506583333,1504.4,"White_Hake"
"476",2009,21140.68,14685.41616,1779.5,"White_Hake"
"477",2010,27829.448,19510.9891,1898.6,"White_Hake"
"478",2011,31933.6,23988.7004133333,2951.4,"White_Hake"
"479",2012,32339.029,24316.82945,2803.9,"White_Hake"
"480",2013,33749.705,26808.76209,2263.4,"White_Hake"
"481",2014,35397.477,28282.5176375,1938.9,"White_Hake"
"482",1978,222576.1,166816.786705202,21512,"Pollock"
"483",1979,198487.9,146150.798076923,17645,"Pollock"
"484",1980,147756,114716.4525,22201,"Pollock"
"485",1981,135996.7,103789.944202899,22879,"Pollock"
"486",1982,121865.5,94144.0819852941,20787,"Pollock"
"487",1983,115109.3,87684.2833962264,19443,"Pollock"
"488",1984,104863.9,83249.005015674,21112,"Pollock"
"489",1985,94075.89,80106.2484164223,21244,"Pollock"
"490",1986,94213.8,66003.1802681992,25155,"Pollock"
"491",1987,81673.8,56365.1694817658,20533,"Pollock"
"492",1988,73315.6,46232.2142276423,15365,"Pollock"
"493",1989,71608.3,47512.9605194805,11483,"Pollock"
"494",1990,77547.7,54214.8137931034,9916,"Pollock"
"495",1991,80472.7,60845.4182926829,8473,"Pollock"
"496",1992,90417.7,69933.0035,7470,"Pollock"
"497",1993,89665.5,69729.0295597484,5876,"Pollock"
"498",1994,79023.7,57784.8971223022,4337,"Pollock"
"499",1995,109863.7,61864.3702479339,4254,"Pollock"
"500",1996,124664,70852.6288888889,3709,"Pollock"
"501",1997,134362.5,93590.4296703297,4728,"Pollock"
"502",1998,154072.1,111966.130927835,5932,"Pollock"
"503",1999,172354.8,109242.341463415,4945,"Pollock"
"504",2000,170834.9,111060.422666667,4717,"Pollock"
"505",2001,183637.5,125933.339189189,5436,"Pollock"
"506",2002,227319.4,137153.193103448,4721,"Pollock"
"507",2003,239173.4,162471.710344828,5736,"Pollock"
"508",2004,233662.1,191056.767391304,6064,"Pollock"
"509",2005,237090.2,226678.727659574,7228,"Pollock"
"510",2006,214942.2,223356.471111111,7078,"Pollock"
"511",2007,194173.3,189108.778787879,9280,"Pollock"
"512",2008,160085.8,141535.405555556,12216,"Pollock"
"513",2009,137400.1,107690.254736842,8755,"Pollock"
"514",2010,115784.4,84645.3956989247,7373,"Pollock"
"515",2011,127422.6,87219.8870967742,9738,"Pollock"
"516",2012,136913,92335.4346153846,8277,"Pollock"
"517",2013,146358.1,101067.57,8594,"Pollock"
"518",2014,NA,NA,NA,"Pollock"
"519",1978,368822.07574,118305.64303584,111823.63,"Atl_Herring"
"520",1979,307125.8365,107961.719398586,118453.08,"Atl_Herring"
"521",1980,313458.51328,123264.892505664,114136.98,"Atl_Herring"
"522",1981,275514.42394,86211.224213749,104870.95,"Atl_Herring"
"523",1982,272612.15029,94335.5373239674,70102.52,"Atl_Herring"
"524",1983,280491.26198,116119.647817132,44441.85,"Atl_Herring"
"525",1984,382526.00836,142260.615285373,55510.834,"Atl_Herring"
"526",1985,454192.182242,142002.565766918,60818.38,"Atl_Herring"
"527",1986,603371.5149,247295.909701408,67852.24,"Atl_Herring"
"528",1987,575529.45804,252309.854216789,76320.06,"Atl_Herring"
"529",1988,590246.4823,263895.77765317,86041.61,"Atl_Herring"
"530",1989,653969.36993,270855.800144944,99123.46,"Atl_Herring"
"531",1990,844386.5285,401424.533122601,93520.27,"Atl_Herring"
"532",1991,1009048.747,532577.696009103,103904.61,"Atl_Herring"
"533",1992,1149649.9641,629419.104302181,123782.98,"Atl_Herring"
"534",1993,1131759.3997,655663.025178366,107824.98,"Atl_Herring"
"535",1994,1096973.1732,672933.376115976,85469.83,"Atl_Herring"
"536",1995,1632745.7975,765078.209897687,123034.43,"Atl_Herring"
"537",1996,2253394.6914,901778.429473311,132628.32,"Atl_Herring"
"538",1997,2080645.4486,1014000.2138168,144245.15,"Atl_Herring"
"539",1998,1685432.6746,913500.208174061,128402.89,"Atl_Herring"
"540",1999,1973553.444,911639.068946878,129435.96,"Atl_Herring"
"541",2000,1837718.3598,914462.085514775,124791.03,"Atl_Herring"
"542",2001,1333907.977,839046.841157304,139460.66,"Atl_Herring"
"543",2002,1391977.16,679746.574844218,104237.61,"Atl_Herring"
"544",2003,1470708.8279,670726.60941703,112049.105,"Atl_Herring"
"545",2004,1335552.5783,643351.642724773,115782.32,"Atl_Herring"
"546",2005,1240120.564,655996.046134495,108288.36,"Atl_Herring"
"547",2006,1289598.3404,633732.889147691,119710.18,"Atl_Herring"
"548",2007,1068028.8834,537842.481725079,114166.73,"Atl_Herring"
"549",2008,1103910.5983,567540.084674238,93062.301,"Atl_Herring"
"550",2009,1163609.203,516652.564449725,111107.701,"Atl_Herring"
"551",2010,1855093.424,569745.017858005,80466.64,"Atl_Herring"
"552",2011,1780475.0569,868133.841504652,87187.316,"Atl_Herring"
"553",2012,1968126.4196,878493.501781532,88584.8741,"Atl_Herring"
"554",2013,2109746.7033,984872.89789205,102210.389,"Atl_Herring"
"555",2014,2319633.6038,1205954.21754102,95469.751,"Atl_Herring"
"556",1978,NA,NA,NA,"Summer"
"557",1979,NA,NA,NA,"Summer"
"558",1980,NA,NA,NA,"Summer"
"559",1981,NA,NA,NA,"Summer"
"560",1982,55143.447,38687.7355126582,18847,"Summer"
"561",1983,61483.074,42992.1272061361,26291,"Summer"
"562",1984,51398.67,37942.3785208511,25934,"Summer"
"563",1985,49367.483,32129.4196161525,20357,"Summer"
"564",1986,50888.314,31022.8398037094,20741,"Summer"
"565",1987,45683.543,30819.6363713268,18223,"Summer"
"566",1988,33014.997,28837.4458891051,21564,"Summer"
"567",1989,16528.011,15111.792719581,10041,"Summer"
"568",1990,20598.368,12625.0292411429,7621,"Summer"
"569",1991,25510.537,16997.9354870317,10421,"Summer"
"570",1992,29467.506,25179.9627394231,13213,"Summer"
"571",1993,30619.992,22897.3943055266,11246,"Summer"
"572",1994,37166.369,24494.1122667387,12961,"Summer"
"573",1995,40635.595,9431.3884884507,10950,"Summer"
"574",1996,47209.051,13223.3659430014,12351,"Summer"
"575",1997,45706.244,18840.401358209,10649,"Summer"
"576",1998,51375.671,24156.0817315522,12003,"Summer"
"577",1999,43596.465,27289.1236527051,10910,"Summer"
"578",2000,59368.136,38092.7920910624,14993,"Summer"
"579",2001,60914.15,33870.2549760479,11813,"Summer"
"580",2002,67096.434,37098.6001434978,11827,"Summer"
"581",2003,75208.914,45940.3590118765,13654,"Summer"
"582",2004,84147.733,48987.5302467249,15821,"Summer"
"583",2005,70163.12,44507.9661528662,15189,"Summer"
"584",2006,69055.675,47397.263490085,13316,"Summer"
"585",2007,68764.74,50877.9492083333,11800,"Summer"
"586",2008,66838.418,35699.4046270718,10148,"Summer"
"587",2009,70610.207,35752.7946448087,10150,"Summer"
"588",2010,69260.291,36278.348428934,10779,"Summer"
"589",2011,65865.277,35990.4043382979,12345,"Summer"
"590",2012,60441.436,36124.8850368421,10297,"Summer"
"591",2013,58067.467,36968.5566632124,10464,"Summer"
"592",2014,56647.716,34361.356328084,10064,"Summer"
"593",1978,NA,NA,14496,"Scup"
"594",1979,NA,NA,13943,"Scup"
"595",1980,NA,NA,16027,"Scup"
"596",1981,NA,NA,17526,"Scup"
"597",1982,NA,NA,15518,"Scup"
"598",1983,NA,NA,14765,"Scup"
"599",1984,38747.253,24446.3838974359,12641,"Scup"
"600",1985,39695.718,22372.3463959276,13123,"Scup"
"601",1986,45585.702,30366.9028121442,16769,"Scup"
"602",1987,33074.296,22268.2597392924,12503,"Scup"
"603",1988,29134.636,18133.9967338783,10976,"Scup"
"604",1989,27835.794,14543.7988378378,8285,"Scup"
"605",1990,28540.556,17329.3669495074,9299,"Scup"
"606",1991,34656.844,19438.858535688,14892,"Scup"
"607",1992,28406.768,14997.7730937269,10562,"Scup"
"608",1993,19007.204,12307.2535182972,7981,"Scup"
"609",1994,16880.751,8724.88566928618,6804,"Scup"
"610",1995,15621.319,7012.87740703518,4781,"Scup"
"611",1996,16065.104,8768.59969990128,4993,"Scup"
"612",1997,17534.958,7876.17513857678,3514,"Scup"
"613",1998,26183.261,9828.56509215686,3086,"Scup"
"614",1999,32362.697,14536.6150769231,3259,"Scup"
"615",2000,70539.883,31534.9180508475,4779,"Scup"
"616",2001,102566.49,69900.0874368932,5869,"Scup"
"617",2002,122758.303,93317.6214074074,6553,"Scup"
"618",2003,138162.2,109620.989126316,9566,"Scup"
"619",2004,154798.826,126126.845146067,8993,"Scup"
"620",2005,171389.643,113358.703508197,5761,"Scup"
"621",2006,193157.264,103402.404142857,7084,"Scup"
"622",2007,219896.192,115841.908255814,7987,"Scup"
"623",2008,242086.52,143934.094698113,6062,"Scup"
"624",2009,245175.664,159151.306955882,8583,"Scup"
"625",2010,247942.244,158890.969518987,10537,"Scup"
"626",2011,259634.467,147450.171050633,9858,"Scup"
"627",2012,252947.083,132331.019581395,9853,"Scup"
"628",2013,234079.344,115015.935608333,12045,"Scup"
"629",2014,209820.162,95216.5140866142,10620,"Scup"
"630",1978,NA,NA,NA,"BSB"
"631",1979,NA,NA,NA,"BSB"
"632",1980,NA,NA,2099,"BSB"
"633",1981,NA,NA,1788,"BSB"
"634",1982,NA,NA,2729,"BSB"
"635",1983,NA,NA,3583,"BSB"
"636",1984,NA,NA,2258,"BSB"
"637",1985,NA,NA,2165,"BSB"
"638",1986,NA,NA,3537,"BSB"
"639",1987,NA,NA,2648,"BSB"
"640",1988,NA,NA,2917,"BSB"
"641",1989,8018.7290476,3896.61343747904,2427.4,"BSB"
"642",1990,8500.3853602,3976.83003312607,2744.8,"BSB"
"643",1991,9409.39145764,3897.35114966003,2944.9,"BSB"
"644",1992,10145.05693962,4086.29211891367,2592.5,"BSB"
"645",1993,9064.63042888,4399.18458543697,3394,"BSB"
"646",1994,8157.535392684,3849.26244217635,2137.9,"BSB"
"647",1995,10534.08366189,4519.17292663151,3282,"BSB"
"648",1996,10539.84263174,5045.30446779845,3793.8,"BSB"
"649",1997,10962.18828357,4945.72582134506,3178.9,"BSB"
"650",1998,10435.86808511,4135.9061537094,1980,"BSB"
"651",1999,13274.25563302,5982.56166586305,2330.5,"BSB"
"652",2000,16497.0837604,7396.9604747701,3494.1,"BSB"
"653",2001,18125.92615508,8233.76612567725,3620.4,"BSB"
"654",2002,19072.9431287,10731.2497541834,4346.7,"BSB"
"655",2003,16339.705218,9850.96669693385,3772.8,"BSB"
"656",2004,12757.410364,7503.34532109778,2903.5,"BSB"
"657",2005,11327.2527569,7179.27625846799,2377.1,"BSB"
"658",2006,10603.042451,6101.15725673671,2319.5,"BSB"
"659",2007,10546.8191816,5184.51073532567,2348.5,"BSB"
"660",2008,13133.7121381,5615.05062775715,2106.3,"BSB"
"661",2009,13708.880028,6438.57126466633,2132.2,"BSB"
"662",2010,16239.9346369,8443.88863955671,2587.2,"BSB"
"663",2011,14870.3356853,8244.64617665457,1661.6,"BSB"
"664",2012,22151.5139242,11313.6569581106,2729.4,"BSB"
"665",2013,24517.9379202,12198.3180391471,2733,"BSB"
"666",2014,27498.5408577,17647.8438107862,3630.6,"BSB"
"667",1978,NA,NA,NA,"Bluefish"
"668",1979,NA,NA,NA,"Bluefish"
"669",1980,NA,NA,NA,"Bluefish"
"670",1981,NA,NA,NA,"Bluefish"
"671",1982,NA,NA,45480,"Bluefish"
"672",1983,NA,NA,48871,"Bluefish"
"673",1984,NA,NA,37237,"Bluefish"
"674",1985,204733.24,129269.3128,32413.6,"Bluefish"
"675",1986,187663.06,126296.075,52234,"Bluefish"
"676",1987,160004.13,107392.2192,45191.7,"Bluefish"
"677",1988,121554.9,78119.1392,28670.5,"Bluefish"
"678",1989,112508.36,72931.4348,23693.1,"Bluefish"
"679",1990,102685.355,67918.0996,20252.5,"Bluefish"
"680",1991,90241.705,60418.15955,20647.4,"Bluefish"
"681",1992,82545.66,58132.1326,16945.8,"Bluefish"
"682",1993,77240.16,53175.9,14630.1,"Bluefish"
"683",1994,79265.68,52581.5948,12278.8,"Bluefish"
"684",1995,75867.795,49922.3161,10951.5,"Bluefish"
"685",1996,72277.38,49073.4888,9902.6,"Bluefish"
"686",1997,72602.275,48612.3594,11028.4,"Bluefish"
"687",1998,78657.745,53440.87825,9788.9,"Bluefish"
"688",1999,83750.85,56652.316,6635.7,"Bluefish"
"689",2000,95186.05,65979.8446,8600.9,"Bluefish"
"690",2001,102153.36,70575.5572,10696.2,"Bluefish"
"691",2002,91182.01,63453.684,8314.9,"Bluefish"
"692",2003,97240.94,66397.1569,10475.6,"Bluefish"
"693",2004,104447.045,73503.20035,12175,"Bluefish"
"694",2005,117443.455,77339.4284,12865.2,"Bluefish"
"695",2006,97949.07,66946.1985,11142.7,"Bluefish"
"696",2007,98545.545,66338.63655,13590.8,"Bluefish"
"697",2008,109841.26,76048.30015,12595.8,"Bluefish"
"698",2009,100342.115,66158.129,9855.6,"Bluefish"
"699",2010,101787.215,64203.4368,11275.2,"Bluefish"
"700",2011,99152.23,59232.33685,8173.7,"Bluefish"
"701",2012,104778.745,61392.7795,8075.6,"Bluefish"
"702",2013,112113.865,66052.46505,9040.3,"Bluefish"
"703",2014,107629.435,65279.87975,7008.6,"Bluefish"
